ProjectUUID,PersonUUID,Role
ef0ae6c0-62d2-4fe9-9cf2-81354c4569c7,4d7fda5a-3cf4-4d39-9daf-1ae192b0e0e7,Principal Investigator
90ea8ed3-a495-4998-b22b-0dc362de76f7,f2136570-f73c-446f-9fb0-6d9e461e2124,Principal Investigator
90ea8ed3-a495-4998-b22b-0dc362de76f7,1e0534b4-fe3e-4c5e-ad6d-5f1c7df6a14e,Co-Investigator
47ecae24-c424-4de9-9a67-c937eb1fa065,1b45e3f5-b8cd-4c0d-a444-2901304f76ee,Co-Investigator
47ecae24-c424-4de9-9a67-c937eb1fa065,f11b0cc1-ad9f-4b12-b805-65b70e5bcd65,Co-Investigator
9497b076-f227-4260-9243-fe1191cc3b5e,74a08deb-18e1-48d0-a86e-ed6675da92ab,Principal Investigator
9327801a-eaef-45a8-9591-f619b036564c,10e4fc8e-556f-4104-b744-409caedc2276,Principal Investigator
88d75831-25f7-4350-844d-9205d4c998d5,f11b0cc1-ad9f-4b12-b805-65b70e5bcd65,Principal Investigator
9bdf9b3d-9ce4-4454-a5d3-0b1d3e3bd631,1052b289-f510-4c5a-9662-2db48c12ebc2,Principal Investigator
d9ae1f9c-c9ff-4c8f-a3c3-5b8c05b9b6d8,9027b41a-4159-4db7-9ddd-8fc8f41f1fb3,Principal Investigator
d9ae1f9c-c9ff-4c8f-a3c3-5b8c05b9b6d8,1313519f-2074-41d6-8b79-589648e37211,Co-Investigator
d9ae1f9c-c9ff-4c8f-a3c3-5b8c05b9b6d8,9cf737ee-bd9a-4f7e-b865-b6ff6ed01fde,Co-Investigator
87b9d762-9ea2-4c1d-a75f-33ab63f0dfc2,37d49222-56d7-4c65-8d52-3638544511cf,Principal Investigator
87b9d762-9ea2-4c1d-a75f-33ab63f0dfc2,789b6eac-8500-4bf3-bd31-bc9db5e771fa,Principal Investigator
52b61d82-61c5-4c33-814d-17dffa0e6da7,1e0534b4-fe3e-4c5e-ad6d-5f1c7df6a14e,Principal Investigator
f9613974-23dd-4af9-b328-b9472531403e,d30b96a8-4f1e-44fa-9bf5-0209bedf0268,Principal Investigator
f9613974-23dd-4af9-b328-b9472531403e,d3b41838-e2bf-4735-b1cd-03f60b49c7e5,Co-Investigator
f9613974-23dd-4af9-b328-b9472531403e,92f6c3f3-0ad2-40fc-b278-69170f87567d,Co-Investigator
f9613974-23dd-4af9-b328-b9472531403e,e9d14210-bc71-4824-b7cf-fd1448d022ab,Co-Investigator
3f0c297c-cb5f-4a2c-9277-5ecc115fcd18,2fa5dc89-7d78-45d0-96c7-e8f39b78dd3e,Principal Investigator
02612818-86cd-4c8c-8cd3-3c5aa52f1cbb,37d49222-56d7-4c65-8d52-3638544511cf,Principal Investigator
fd1bc026-6e92-4652-bb7e-7f9f8c47b4c7,d30b96a8-4f1e-44fa-9bf5-0209bedf0268,Principal Investigator
fd1bc026-6e92-4652-bb7e-7f9f8c47b4c7,d3b41838-e2bf-4735-b1cd-03f60b49c7e5,Co-Investigator
