paperUUID,expertUUID,role,name,lastname
40be91bf-0fd1-449e-9d0d-ac2961bdd112,c40e1e8a-50ee-4a7c-b7f0-2fc0fdd62adc,Author,Anna,Rogers
d758e944-41f5-488a-94cf-dc9830faed49,c40e1e8a-50ee-4a7c-b7f0-2fc0fdd62adc,Author,Anna,Rogers
ac5a3b03-ee6f-4fdc-ac5b-a5532b729bfa,c40e1e8a-50ee-4a7c-b7f0-2fc0fdd62adc,Author,Anna,Rogers
9a7cb200-524e-4ae9-a362-4b6329940dac,c40e1e8a-50ee-4a7c-b7f0-2fc0fdd62adc,Author,Anna,Rogers
c5f84d5a-5f08-4573-8faf-228091262516,c40e1e8a-50ee-4a7c-b7f0-2fc0fdd62adc,Author,Anna,Rogers
c997492b-f7c7-4241-b5d4-fb42c37ed17a,7dd2f4fa-dd14-4676-8f1a-f719f213f64f,Author,Eduard,Kamburjan
e25403b8-3e3f-40d5-bfb5-1b400258f106,cf5e1d64-5489-4534-ba34-8dba5fd354a6,Author,Paolo,Burelli
0c945e3a-c0a9-478d-8d41-d5178ed0cc2d,efa39e70-a80a-4780-b151-ba31b01726bb,Author,Per Bruun,Brockhoff
ff2949dd-f479-44c7-ad0a-ed7f4b3dfa43,efa39e70-a80a-4780-b151-ba31b01726bb,Author,Per B.,Brockhoff
3de03588-7f1b-4647-b36f-74256e31e14e,8785f18a-1bf3-4c63-8d8b-d3e5d516ca40,Author,Payam,Zahadat
76eb495d-1247-4325-8c6b-56bb5b261836,c40e1e8a-50ee-4a7c-b7f0-2fc0fdd62adc,Author,Anna,Rogers
187d32a0-70be-49b2-8667-513e598dedcd,4e33d926-364b-47b8-97d7-409c16b62db9,Author,Vasiliki,Baka
135235e0-305a-4763-aea6-82852871838f,,Author,Dag,Svanæs
69bd4d01-e1bb-402c-b818-d0213b3d9b81,605b59ab-91b4-4f8e-bb12-df68ce0491c5,Editor,Cancan,Wang
442bcd20-ff7c-4580-94b8-f6458f30bd66,605b59ab-91b4-4f8e-bb12-df68ce0491c5,Author,Cancan,Wang
b5f177c7-ffee-4972-bfe4-a16b6dedcbdd,605b59ab-91b4-4f8e-bb12-df68ce0491c5,Author,Cancan,Wang
1fe03ba0-de4d-11dd-a259-000ea68e967b,f2136570-f73c-446f-9fb0-6d9e461e2124,Author,Yvonne,Dittrich
a9b9ee1f-4732-4e10-807e-d4625bd9053d,f2136570-f73c-446f-9fb0-6d9e461e2124,Author,Yvonne,Dittrich
f767a54a-980d-46f3-a440-f57463019784,f2136570-f73c-446f-9fb0-6d9e461e2124,Author,Yvonne,Dittrich
84765edd-6a13-4117-9176-d67bb31a1006,f2136570-f73c-446f-9fb0-6d9e461e2124,Author,Yvonne,Dittrich
3ad19b8b-1e21-410e-a5a4-7a55c612df78,fc4a63b2-8edf-4d1c-94a4-2cbfe61adf48,Author,Camille,Rønn
3ad19b8b-1e21-410e-a5a4-7a55c612df78,ceef6d97-26fe-4163-9538-6685e98bce2e,Author,Daniel,Fürstenau
658bb4b7-f6a2-4f79-9add-a5f460def5fd,c76f4d2e-f55e-4a42-93d0-0af4971bd229,Author,Rasmus ,Ronneberg
658bb4b7-f6a2-4f79-9add-a5f460def5fd,d05daa00-c3d6-4a89-ba14-cfd1847fb0cc,Author,Raúl,Pardo
658bb4b7-f6a2-4f79-9add-a5f460def5fd,a39b94ff-e1b6-4b96-8404-486167a9123d,Author,Andrzej ,Wasowski
9453cea8-9b66-4bf8-9aab-611805efae7b,d05daa00-c3d6-4a89-ba14-cfd1847fb0cc,Author,Raúl,Pardo
9453cea8-9b66-4bf8-9aab-611805efae7b,a39b94ff-e1b6-4b96-8404-486167a9123d,Author,Andrzej,Wasowski
fc76e643-6a42-4bc0-8c59-63e4ee2b0962,efa39e70-a80a-4780-b151-ba31b01726bb,Author,Per B.,Brockhoff
